                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5837,                 2.6311,                 1.6109,                0.48963,                0.62319,                0.59973,                0.25818,                      0,                    inf,                      0,               0.070227,              0.0033081,              0.0033081
                      1,                 1.4506,                 1.4288,                  1.461,                0.74936,                0.82585,                0.87437,                0.35683,                      0,                    inf,                      0,               0.040145,              0.0065592,              0.0065592
                      2,                 1.4459,                 1.3327,                 1.4525,                0.78228,                0.59965,                0.74574,                0.30151,                      0,                    inf,                      0,              0.0099804,              0.0097279,              0.0097279
                      3,                 1.4968,                 1.4229,                 1.4759,                0.53117,                0.77769,                0.74401,                0.26089,                      0,                    inf,                      0,              0.0096288,              0.0096288,              0.0096288
                      4,                 1.4857,                 1.2842,                 1.4788,                0.78016,                0.79707,                0.88932,                0.35787,                      0,                    inf,                      0,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.4747,                 1.2607,                 1.5065,                0.86298,                0.74376,                0.84263,                0.38058,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      6,                 1.4419,                 1.1887,                 1.4879,                 0.8713,                0.82636,                0.89107,                0.42841,                      0,                    inf,                      0,              0.0093813,              0.0093813,              0.0093813
                      7,                 1.4288,                 1.1667,                 1.4703,                0.86631,                0.83016,                0.91073,                0.38149,                      0,                    inf,                      0,              0.0092575,              0.0092575,              0.0092575
                      8,                 1.4172,                 1.1153,                 1.4597,                0.94493,                0.82071,                0.93329,                0.38313,                      0,                    inf,                      0,              0.0091337,              0.0091337,              0.0091337
                      9,                 1.4009,                 1.1007,                  1.466,                0.86372,                 0.8151,                0.89603,                0.41198,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     10,                  1.384,                 1.0435,                 1.4289,                0.91027,                0.85178,                0.90023,                0.40234,                      0,                    inf,                      0,              0.0088863,              0.0088863,              0.0088863
                     11,                 1.3478,                 1.0414,                 1.4217,                0.92411,                0.83116,                0.93023,                0.42837,                      0,                    inf,                      0,              0.0087625,              0.0087625,              0.0087625
                     12,                 1.3728,                  1.031,                 1.4268,                0.92629,                    0.9,                 0.9585,                0.44122,                      0,                    inf,                      0,              0.0086388,              0.0086388,              0.0086388
                     13,                  1.313,                0.95742,                 1.3881,                0.88843,                0.92307,                0.94774,                0.42578,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     14,                 1.3255,                0.95846,                 1.3853,                0.91343,                0.90124,                0.95822,                0.48476,                      0,                    inf,                      0,              0.0083913,              0.0083913,              0.0083913
                     15,                 1.2884,                0.96392,                 1.3793,                0.95715,                0.85672,                0.94585,                0.46032,                      0,                    inf,                      0,              0.0082675,              0.0082675,              0.0082675
                     16,                 1.2879,                0.92862,                   1.37,                0.90075,                0.91393,                0.94704,                0.44755,                      0,                    inf,                      0,              0.0081437,              0.0081437,              0.0081437
                     17,                 1.2853,                0.92417,                 1.3747,                0.95831,                0.93637,                0.97392,                0.50687,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     18,                 1.2523,                0.88703,                 1.3412,                0.92006,                0.94938,                0.97723,                0.50446,                      0,                    inf,                      0,              0.0078963,              0.0078963,              0.0078963
                     19,                 1.2487,                0.88909,                 1.3666,                0.92379,                 0.9503,                0.97834,                0.51081,                      0,                    inf,                      0,              0.0077725,              0.0077725,              0.0077725
                     20,                 1.2325,                0.82797,                 1.3339,                0.92952,                0.94115,                 0.9674,                0.51389,                      0,                    inf,                      0,              0.0076488,              0.0076488,              0.0076488
                     21,                 1.2184,                0.86046,                 1.3281,                0.94623,                0.95369,                0.96922,                0.53345,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     22,                 1.1987,                  0.805,                  1.319,                0.95092,                0.94897,                0.98018,                0.55698,                      0,                    inf,                      0,              0.0074013,              0.0074013,              0.0074013
                     23,                 1.1805,                0.81063,                 1.3136,                0.90084,                0.92189,                0.96667,                0.52154,                      0,                    inf,                      0,              0.0072775,              0.0072775,              0.0072775
                     24,                 1.2046,                 0.8135,                 1.3177,                0.97061,                0.89964,                0.96569,                0.54898,                      0,                    inf,                      0,              0.0071538,              0.0071538,              0.0071538
                     25,                 1.1766,                 0.7972,                 1.2934,                0.95054,                0.91755,                0.96122,                0.51903,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     26,                 1.1465,                0.77879,                 1.2722,                0.93079,                0.94442,                0.97815,                0.57198,                      0,                    inf,                      0,              0.0069063,              0.0069063,              0.0069063
                     27,                 1.1474,                0.76831,                 1.2803,                0.94795,                0.91811,                0.97817,                0.54716,                      0,                    inf,                      0,              0.0067825,              0.0067825,              0.0067825
                     28,                 1.1363,                0.73743,                 1.2686,                0.93708,                0.94577,                0.98346,                0.58427,                      0,                    inf,                      0,              0.0066587,              0.0066587,              0.0066587
                     29,                 1.1659,                0.74523,                 1.2841,                 0.9702,                0.94973,                0.98572,                0.57649,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
